ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
left_cerebellum_cortex_Thickness,4.779858936974013e-06,-0.00013926802247678086,0.002600572221865483,-0.053552631909049714
left_cerebellum_white_matter_Thickness,4.5346228174975165e-06,-0.00011461914319056206,0.0020773736465579985,-0.055174759549336816
right_cerebellum_white_matter_Thickness,4.097892976060006e-06,-0.00012832919976736871,0.0019808784866919933,-0.06478365674267383
right_cerebellum_cortex_Thickness,3.979075181882673e-06,-0.000129651923403051,0.0023589349730935806,-0.05496182610526187
brain_stem_Thickness,3.4685358394474905e-06,-6.148624990099668e-05,0.001019962898302329,-0.06028223887451921
lh_lingual_Volume,3.1680155069003843e-06,-8.116439230374336e-06,0.0001634062737459419,-0.04966726412445744
right_cerebellum_cortex_Volume,2.890838233363789e-06,-7.774049923622433e-05,0.0009633712405591793,-0.08069546713521335
fourth_ventricle_Thickness,2.8578975515831736e-06,-6.479901020522588e-05,0.0013860398216636322,-0.04675085209235095
lh_lateraloccipital_Volume,2.829480716572572e-06,-3.9572966602735005e-06,6.494567713977986e-05,-0.060923029895565375
rh_lingual_Volume,2.698367152183999e-06,-7.545728934754359e-06,0.00013770939777143498,-0.05479060362489803
lh_pericalcarine_Volume,2.303023033536006e-06,7.965969481565022e-06,0.0001776505036398362,0.04483815658720693
left_cerebellum_cortex_Volume,2.298776851870052e-06,-7.133905780544958e-05,0.0008592359999347909,-0.08302518465126818
lh_fusiform_Thickness,1.936708910026197e-06,-3.9170624660407196e-06,0.001004460430182007,-0.0038996294448717223
lh_cuneus_Volume,1.8961998334370047e-06,2.225149099106588e-05,0.0005308432344044608,0.04191646494539828
right_cerebellum_white_matter_Volume,1.851272496387698e-06,-4.925470376632328e-05,0.0006739103460375554,-0.07308683297058147
rh_pericalcarine_Volume,1.6295324063929585e-06,1.0036385787145292e-05,0.00018053103923984748,0.05559060604393678
lh_parahippocampal_Thickness,1.5989505922846545e-06,-1.7527810724220545e-05,0.0006654236595833665,-0.026340432997024602
rh_parahippocampal_Thickness,1.4401471712832265e-06,-3.571480615216812e-05,0.000748682038116643,-0.04770293302705579
rh_cuneus_Volume,1.404466439929774e-06,2.6734451941247638e-05,0.0005410613707733424,0.04941021348632182
lh_fusiform_Volume,1.3313892633700644e-06,-2.2598395159721815e-05,0.00032697331985319253,-0.06911176744388044
rh_fusiform_Thickness,1.1043745733674572e-06,-2.4005536757695902e-05,0.0010299827255315563,-0.0233065109710432
rh_lateraloccipital_Volume,9.747806019069449e-07,-1.2553549695927603e-06,3.225090843352409e-05,-0.038912573468893756
lh_lateraloccipital_Thickness,9.471111796715428e-07,-2.815795913436696e-05,0.0011827621240980324,-0.023806749043768578
